occupation,id,gender,fame,birthyear
performer,9578,male,star,1972
creator,9259,male,star,1958
sports,20439,male,star,1985
performer,38537,male,star,1992
performer,3032,female,star,1943
creator,519,female,star,1961
sports,40146,female,star,1988
performer,13420,male,star,1965
manager,12863,male,rising,1954
performer,351,female,superstar,1982
sports,28563,male,star,1979
sports,3672,male,superstar,1989
politics,24954,male,star,1964
creator,20288,male,superstar,1972
performer,45629,female,superstar,1986
sports,8792,male,star,1950
performer,35639,male,star,1984
performer,32971,female,superstar,1948
sports,11234,male,star,1991
performer,33182,male,star,1970
performer,1069,male,star,1979
politics,31177,male,star,1955
performer,21587,male,star,1949
creator,2039,male,star,1957
creator,27047,female,superstar,1958
politics,30619,male,star,1950
performer,31234,male,superstar,1974
creator,24922,male,star,1984
sports,15484,female,star,1989
performer,11664,male,superstar,1968
performer,34884,female,star,1986
manager,21736,male,rising,1987
sports,25616,male,star,1970
creator,35022,male,star,1973
sports,17671,female,star,1991
sports,48023,female,star,1989
sports,39410,male,star,1965
performer,28322,male,superstar,1984
sports,6416,female,star,1977
performer,28362,female,star,1978
performer,10453,male,star,1983
creator,8659,male,superstar,1976
creator,29376,male,star,1962
performer,38022,male,superstar,1967
performer,2045,female,star,1965
creator,16000,male,star,1978
sports,30931,male,star,1992
sports,10409,male,star,1993
sports,8032,male,rising,1993
performer,47,male,superstar,1968
politics,30403,male,rising,1985
performer,17456,female,star,1990
performer,369,female,star,1988
science,6534,male,star,2000
sports,40074,female,rising,1996
politics,14493,male,superstar,1960
performer,5084,female,superstar,1986
performer,46200,male,star,2003
sports,11950,male,star,1994
sports,38203,male,star,1992
sports,11385,male,star,1986
sports,3994,male,star,1984
sports,4709,male,superstar,1981
sports,21289,male,rising,1998
sports,3296,female,superstar,1993
sports,17530,female,star,1990
performer,5141,male,star,1950
creator,125,female,star,1967
performer,8240,female,star,1977
sports,29536,male,star,1965
creator,22157,female,superstar,1984
creator,14001,male,star,1969
politics,37942,male,star,1962
performer,44636,male,star,1969
creator,37855,male,star,1942
performer,17656,male,star,1970
performer,35959,male,star,1959
sports,31401,male,star,1986
performer,40957,female,superstar,1996
creator,30138,male,star,1979
sports,18521,male,star,1989
sports,43176,female,star,1987
sports,34887,male,star,1985
performer,47967,male,star,1951
performer,7204,male,superstar,1975
performer,3883,male,star,1968
performer,35659,male,superstar,1989
sports,15908,male,star,1976
creator,25271,male,superstar,1971
creator,40697,female,star,1953
performer,11761,female,star,1993
performer,1475,female,superstar,1984
sports,33709,male,star,1990
politics,14099,male,rising,1948
performer,615,male,superstar,1972
sports,39982,male,superstar,1989
sports,20711,male,star,1971
performer,5507,male,star,1944
politics,5326,male,star,1969
performer,43954,female,superstar,1973
performer,27504,female,superstar,1989
sports,5770,male,star,1994
politics,40590,male,superstar,1962
performer,43507,female,star,1987
sports,10891,male,superstar,1982
creator,38017,male,star,1971
performer,43372,male,superstar,1985
performer,8265,male,superstar,1999
sports,16129,male,star,1982
performer,20646,female,star,1988
performer,20206,male,superstar,1984
sports,839,male,star,1989
creator,28232,female,star,1970
sports,43594,male,star,1989
performer,30321,male,star,1948
performer,43047,male,superstar,1981
manager,11151,male,superstar,1966
sports,12856,female,star,1987
creator,20580,female,superstar,1984
sports,36819,male,star,1992
performer,26773,male,star,1970
performer,47524,female,star,1983
politics,23187,male,rising,1971
sports,31890,female,star,1993
performer,24156,male,star,1984
sports,17569,male,star,1980
creator,23722,female,star,1976
sports,41758,male,superstar,1988
performer,24073,male,star,1980
sports,44442,male,star,1995
sports,17366,male,star,1992
sports,13047,male,star,1987
sports,21267,male,star,1972
politics,32759,female,superstar,1978
science,30259,male,star,1953
performer,15249,male,star,1981
sports,32482,male,rising,1971
performer,2644,male,superstar,1996
creator,17728,male,star,1945
creator,44055,male,star,1972
performer,8150,female,superstar,1972
performer,27227,female,superstar,1981
manager,17144,male,superstar,1944
sports,344,male,star,1982
sports,9096,male,star,1993
sports,40384,male,star,1990
creator,9261,male,star,1980
performer,37179,female,star,1970
performer,11954,female,star,1979
creator,7261,male,star,1966
performer,33643,male,star,1979
creator,37587,male,star,1970
sports,41502,male,superstar,1984
performer,20391,female,superstar,1982
politics,16545,female,star,1968
performer,41123,female,star,1958
creator,43022,male,star,1960
sports,17068,male,star,1981
sports,43823,male,superstar,1951
politics,23373,male,star,1978
sports,7589,male,star,1993
performer,7170,female,superstar,1972
sports,7364,male,star,1986
performer,3030,male,star,1975
sports,4469,male,star,1973
performer,40468,male,star,2000
sports,32390,male,star,1962
sports,7056,male,superstar,1984
sports,4161,male,star,1982
sports,34438,male,star,1990
creator,3103,female,star,1985
sports,14116,male,star,1988
sports,13135,male,star,1984
performer,39401,male,star,1972
performer,47033,female,superstar,1973
performer,118,male,star,1977
sports,19152,male,star,1978
sports,20355,male,star,1986
performer,17690,male,superstar,1987
performer,30911,male,star,2004
politics,16960,male,star,1980
sports,20188,female,star,1972
politics,46800,male,star,1976
sports,3946,male,star,1990
performer,27807,female,superstar,1994
sports,16941,female,star,1993
performer,1804,male,star,1980
science,34217,male,star,1946
sports,15500,female,star,1992
professional,20287,male,star,1951
performer,13208,male,star,1980
sports,47727,male,star,1981
sports,33653,male,star,1993
politics,34693,male,star,1976
performer,40642,female,star,1983
performer,33909,male,star,1993
creator,41130,male,star,1951
creator,27588,male,star,1955
creator,15419,male,star,1960
science,35353,male,superstar,1983
performer,25274,female,star,1984
politics,5284,male,star,1979
sports,24570,male,star,1990
performer,2320,male,star,1979
politics,35179,male,star,1960
sports,45117,male,superstar,1982
performer,13401,male,star,1974
creator,29047,female,superstar,1981
professional,25520,male,superstar,1960
sports,26278,male,star,1985
creator,41176,female,star,1971
performer,16974,female,star,1962
politics,36909,female,star,1978
performer,2173,male,superstar,1994
performer,42059,female,superstar,1973
manager,8522,female,star,1964
performer,15260,male,star,1954
creator,20860,female,superstar,1959
sports,33631,male,star,1952
religious,14452,male,superstar,1952
performer,13246,female,star,1988
sports,19057,male,star,1991
professional,43028,male,star,1966
sports,9344,male,star,1978
sports,11249,male,superstar,1991
sports,14147,male,star,1973
sports,21070,male,rising,1947
sports,22648,male,star,1985
sports,34216,male,star,1989
sports,11419,male,rising,1993
sports,5538,male,star,1947
manager,16307,male,star,1972
performer,38580,male,superstar,1979
performer,20088,female,star,1989
sports,20171,male,star,1998
creator,7610,male,star,1970
professional,37825,male,star,1984
creator,20810,female,star,1984
politics,3195,male,star,1969
performer,39079,female,star,1993
sports,36200,male,star,1976
sports,1085,male,star,1994
sports,28750,male,star,1992
performer,41591,female,star,1961
science,19590,male,star,1951
sports,4881,male,star,1991
performer,41807,female,superstar,1999
sports,8708,male,star,1986
sports,776,male,star,1974
sports,38229,female,rising,1988
science,6062,female,superstar,1978
performer,6807,male,star,1989
sports,11254,male,star,1992
sports,38834,male,star,1997
performer,12047,male,star,1988
sports,20544,male,star,1995
sports,41562,female,star,1961
performer,42352,female,superstar,1988
performer,3663,female,star,1990
performer,7983,male,star,1980
performer,8533,female,star,1976
sports,41489,male,rising,1996
performer,5909,female,superstar,1980
performer,39459,male,superstar,1975
performer,14771,female,star,1975
creator,23899,male,superstar,1966
politics,37246,male,star,1960
performer,6670,male,star,1947
creator,25220,female,star,1980
sports,44858,male,star,1996
sports,19759,male,star,1978
sports,30274,male,star,1977
sports,34181,male,rising,1956
sports,44965,male,star,1995
performer,34285,female,star,1961
performer,21038,male,superstar,1975
sports,6919,female,star,1984
sports,13456,male,star,1992
creator,26233,male,star,1968
sports,38068,male,star,1986
manager,34116,male,superstar,2000
performer,38497,male,star,1991
performer,13181,male,superstar,1985
creator,26473,male,star,1974
sports,26267,male,superstar,1986
sports,29038,male,star,1989
performer,14928,male,star,1990
performer,35368,male,star,1980
sports,30558,male,star,1982
creator,39071,female,star,1967
performer,6059,male,star,1980
performer,40432,female,star,1989
sports,8570,male,star,1988
sports,35787,male,star,1990
creator,7835,male,star,1971
performer,12917,male,superstar,2000
sports,40034,male,star,1994
sports,47763,male,star,1977
sports,23830,female,star,1988
sports,19677,female,star,1991
performer,18168,male,star,1958
creator,28073,female,star,1979
performer,6995,female,star,1978
performer,33274,female,superstar,1990
sports,4331,male,superstar,1951
sports,15933,male,star,1993
sports,37858,male,superstar,1988
creator,39173,male,superstar,1967
sports,7202,male,star,1984
sports,31371,male,star,1990
sports,47156,male,star,1988
sports,13098,male,star,1986
professional,22228,male,star,1964
performer,17678,male,star,1975
sports,38226,male,star,1955
creator,25099,female,star,1963
performer,36348,male,superstar,1994
sports,11060,male,superstar,1969
sports,20073,male,star,1975
sports,4662,male,star,1985
sports,20041,male,star,1983
creator,18112,male,star,1962
sports,41342,male,star,1990
sports,20518,female,star,1992
creator,44867,male,star,1982
performer,18294,female,star,1971
politics,17478,male,star,1962
performer,8121,male,superstar,1976
performer,19096,female,star,1977
performer,32055,male,star,1991
performer,40341,female,superstar,1976
creator,21408,male,star,1991
sports,38257,male,star,1979
sports,32184,male,star,1987
sports,13624,female,star,1991
performer,1666,male,star,1978
performer,41674,male,star,1997
performer,16827,male,superstar,1971
performer,29614,male,star,1985
performer,22031,male,star,1979
politics,1615,male,superstar,1964
performer,18860,female,star,1987
performer,10488,male,star,1980
performer,32548,female,star,1980
creator,34724,male,star,1989
performer,45961,male,star,1984
sports,15052,male,star,1979
sports,1947,male,star,1992
creator,37638,male,star,1979
performer,12931,female,star,1982
sports,4754,male,star,1970
sports,45506,male,star,1991
performer,34225,male,star,1953
politics,16465,male,star,1945
sports,39530,male,star,1995
manager,27141,male,star,1967
sports,28993,female,star,1988
performer,42900,female,superstar,1987
performer,46015,male,star,1949
performer,28170,female,superstar,1985
sports,37705,male,star,1974
sports,44171,male,superstar,1990
performer,20614,female,star,1974
performer,24958,male,star,1966
performer,40999,female,superstar,1993
creator,25792,male,star,1972
creator,6407,male,superstar,1952
sports,28793,male,star,1976
manager,22660,male,star,1982
sports,15822,male,star,1989
sports,23436,male,superstar,1996
sports,46593,male,rising,1991
sports,39594,female,star,1985
creator,15858,male,superstar,1995
sports,3360,male,rising,1991
performer,3199,male,star,1950
sports,19787,male,star,1990
sports,1565,male,star,1953
science,46768,male,star,1941
performer,12077,female,superstar,1985
sports,29321,female,star,1955
performer,45140,female,star,1987
performer,42629,male,superstar,1988
sports,28155,male,star,1985
politics,47794,male,star,1956
performer,13976,female,superstar,1961
politics,25751,female,star,1953
performer,28847,female,star,1984
science,35791,female,star,1970
performer,35155,male,superstar,1989
sports,20629,male,star,1987
creator,30886,male,star,1963
sports,30387,male,star,1967
creator,44354,male,star,1965
performer,18135,male,superstar,1986
creator,31929,male,star,1957
politics,33534,male,star,1971
sports,10828,female,star,1991
sports,23209,male,star,1993
creator,22518,male,superstar,1969
performer,22742,female,star,1948
sports,36704,male,star,1964
sports,44971,male,star,1992
sports,24919,male,rising,1994
sports,20554,male,star,1974
sports,17103,male,star,1970
performer,22869,female,superstar,1982
manager,24937,male,rising,1966
performer,25607,male,star,1970
sports,29460,male,star,1978
performer,41158,male,superstar,1942
sports,28696,male,star,1989
creator,19564,female,star,1957
performer,22752,female,star,1987
sports,18934,female,rising,1982
sports,20266,female,star,1988
sports,32777,male,star,1954
performer,16770,female,star,1955
performer,43361,female,superstar,1979
sports,2792,female,star,1971
performer,46332,female,star,1989
sports,22924,male,superstar,1985
performer,19021,male,superstar,1955
sports,26402,male,star,1983
manager,47669,male,star,1977
sports,17606,male,star,1989
sports,35718,male,star,1993
performer,1478,female,star,1978
creator,23909,female,star,1952
performer,43796,male,star,1974
sports,7235,male,star,1994
science,30605,male,star,2000
performer,19766,female,superstar,1977
creator,5549,male,star,1968
performer,23000,male,superstar,1987
creator,33581,male,star,1967
performer,12010,male,superstar,1947
sports,16676,male,star,1966
creator,24499,male,star,1983
sports,29031,male,star,1972
sports,20901,male,superstar,1985
sports,23347,male,star,1998
sports,41600,male,rising,1985
politics,26316,male,star,1964
performer,6579,male,superstar,1990
performer,37489,male,superstar,1988
manager,19612,male,superstar,1960
politics,20706,male,superstar,1972
sports,1856,male,star,1977
sports,7575,male,star,1988
creator,27717,female,star,1986
sports,42750,male,star,1978
creator,26474,male,superstar,1993
sports,38509,male,star,1985
performer,40910,male,star,1972
performer,1693,male,star,1983
performer,38002,female,superstar,1999
performer,31097,female,star,1966
performer,29396,male,star,1985
politics,12002,male,star,1955
performer,12884,female,star,1987
performer,3913,male,superstar,1989
sports,39608,male,star,1993
creator,2085,male,star,1961
creator,44156,female,star,1959
sports,5381,male,star,1977
science,35115,male,star,1956
performer,45901,female,star,1974
performer,34705,male,star,1970
sports,46772,male,superstar,1988
performer,41621,male,star,1971
sports,27440,female,star,1989
sports,29356,male,rising,1977
sports,30626,male,superstar,1959
sports,41463,male,star,1986
sports,45660,male,star,1990
creator,15805,female,star,1974
sports,9288,female,star,1964
creator,8369,female,star,1946
sports,9982,female,star,1973
performer,4832,male,star,1969
performer,2768,male,superstar,1982
creator,5970,male,star,1970
performer,22085,male,superstar,1959
performer,13927,female,star,1983
performer,7367,female,star,1961
performer,46092,male,superstar,1970
politics,33338,male,superstar,1976
sports,14045,male,star,1984
creator,33450,female,star,2000
performer,46943,male,star,1984
sports,29786,male,star,1991
performer,36701,female,star,1982
politics,32447,male,star,1970
creator,26059,male,star,1949
creator,3871,male,star,1975
sports,36371,male,star,1991
performer,16650,male,star,2002
sports,13696,male,star,1994
creator,25872,female,star,1960
sports,46260,male,star,1985
sports,7536,male,star,1982
performer,25696,female,superstar,1972
performer,22288,female,star,1984
sports,24932,male,star,1992
creator,15466,male,star,1979
performer,44204,male,superstar,1968
creator,13174,male,star,1985
sports,6403,male,star,1991
performer,4220,female,superstar,1986
sports,24050,male,star,1984
science,7441,female,star,1965
performer,6547,male,star,1986
performer,47621,female,superstar,1977
performer,1204,male,star,1971
sports,13932,female,star,1996
sports,33562,male,star,1986
performer,39890,female,superstar,1980
science,40176,male,superstar,1941
politics,10075,female,star,1968
professional,6285,male,star,1949
sports,12701,male,star,1988
performer,27544,female,star,1990
professional,42513,male,star,1984
manager,29810,male,star,2000
sports,13273,male,star,1990
performer,17674,male,star,1981
professional,5550,male,star,1957
sports,16709,female,star,1986
science,27646,male,star,1961
professional,817,male,superstar,1982
sports,7619,male,star,1994
creator,15371,male,superstar,1987
sports,42147,female,star,1987
sports,23525,female,star,1983
sports,43997,male,star,1982
creator,34732,female,star,1977
performer,31687,female,star,1979
politics,24195,male,star,1970
sports,44463,male,star,1981
performer,28661,male,star,1974
sports,13009,male,superstar,1975
creator,32302,male,star,1970
sports,13128,male,star,1992
sports,46549,female,star,1993
creator,20345,male,star,1965
sports,42288,male,superstar,1960
performer,31424,male,star,1974
performer,12993,male,superstar,1975
sports,44477,male,star,1991
creator,18014,male,superstar,1965
creator,30151,female,star,1983
sports,6889,male,star,1980
politics,30221,male,star,1969
performer,32612,female,star,1984
creator,2760,male,star,1943
performer,28241,male,superstar,1963
manager,20404,male,star,1958
creator,30455,female,star,1983
creator,2899,female,star,1991
sports,6671,male,superstar,1981
sports,48066,male,rising,1960
performer,19967,male,rising,1968
manager,19774,female,star,1954
creator,10887,female,star,1965
politics,17926,male,star,1953
creator,44884,male,superstar,1990
sports,41560,male,star,1986
performer,30932,male,star,1979
performer,13274,female,superstar,1991
sports,41388,male,star,1998
politics,13671,male,star,1966
politics,6740,male,star,1974
sports,17679,male,star,1983
sports,41950,female,star,1996
performer,33615,male,star,1973
politics,8036,male,star,1966
sports,1716,male,star,1987
sports,7368,male,rising,1988
performer,23443,male,star,1964
sports,30887,male,star,1988
sports,35987,female,star,1987
sports,36093,male,star,1981
politics,27198,female,star,1972
sports,44558,male,star,1987
professional,30401,male,star,1965
performer,42810,female,superstar,1967
creator,23171,male,star,1983
performer,27858,female,star,1966
sports,45656,male,star,1990
creator,5719,male,star,1983
politics,426,female,star,1958
sports,28247,male,star,1976
politics,21631,male,star,1969
performer,27605,female,superstar,1992
sports,24403,male,star,1992
performer,40952,male,star,1973
science,22385,female,star,1958
performer,7027,female,star,1978
creator,8820,female,star,1985
performer,43779,male,star,1986
sports,24106,female,star,1990
sports,694,male,star,1971
sports,8248,male,star,1987
performer,28481,male,superstar,1960
sports,10789,male,star,1993
sports,19011,female,star,1989
creator,17554,male,star,1980
performer,33360,male,star,1959
creator,2645,male,star,1989
sports,19999,male,superstar,1986
creator,755,female,star,1965
sports,17264,female,star,1994
sports,42708,male,star,1994
performer,4899,male,star,1984
sports,34638,male,superstar,1987
creator,47523,male,star,1980
politics,28159,male,star,1966
performer,15008,male,superstar,1964
sports,33167,male,star,1957
sports,10351,male,star,1996
creator,4750,female,superstar,1987
performer,10821,male,star,1980
creator,13844,female,star,1947
performer,26973,female,superstar,1988
creator,22811,female,star,1969
sports,47483,male,rising,1982
sports,23257,male,star,1982
performer,6523,female,star,1977
sports,43582,male,rising,1989
sports,43525,male,star,1987
performer,1706,male,star,1968
performer,41146,female,superstar,1993
creator,18592,male,star,1962
sports,6682,male,star,1972
politics,42324,male,star,1979
sports,28777,female,star,1977
sports,28368,male,star,1989
performer,21327,male,star,1971
performer,46501,male,star,1977
creator,3787,male,superstar,1983
science,20261,male,superstar,1964
professional,40588,female,star,1967
sports,670,male,star,1996
sports,37530,female,rising,1990
professional,6983,female,star,1982
performer,13085,female,superstar,1981
performer,44208,male,star,1995
sports,41994,male,rising,1994
creator,19645,male,star,1941
creator,4978,male,star,1960
sports,17855,female,star,1991
performer,34639,female,rising,1968
sports,11282,male,star,1991
sports,34978,male,star,1990
sports,8740,male,star,1983
sports,20272,male,star,1983
manager,34078,male,star,1975
sports,1059,male,star,1993
professional,5106,male,star,1942
creator,35809,female,star,1973
sports,6489,male,star,1994
politics,37047,male,star,1969
sports,1661,male,star,1986
sports,31290,male,star,1982
sports,134,male,star,1973
performer,13839,male,star,1980
creator,4402,male,star,1978
performer,18661,male,star,1987
performer,5432,male,star,1960
sports,33228,male,superstar,1992
sports,20061,male,rising,1988
performer,43556,male,superstar,1988
performer,24721,male,star,1943
performer,39426,female,star,1987
performer,23204,male,superstar,1967
creator,43146,male,star,1973
manager,10790,male,star,1983
performer,17360,female,star,1969
sports,34165,female,star,1986
sports,44368,female,star,1971
performer,7863,female,star,2000
sports,47167,male,star,1987
creator,17931,female,star,1966
creator,14948,female,superstar,1986
creator,36975,female,superstar,1970
sports,9432,male,rising,1982
performer,30389,female,star,1988
performer,11899,female,star,1976
sports,31157,male,star,1971
sports,15733,male,star,1987
sports,43471,male,star,1989
performer,37801,male,superstar,1990
politics,26950,male,star,1978
sports,35732,male,star,1964
performer,23952,female,star,1984
creator,46400,male,star,1963
creator,30199,female,star,1973
sports,2018,male,star,1991
creator,24370,male,star,1942
performer,45482,male,star,1978
sports,27,male,superstar,1987
sports,32360,male,star,1989
manager,29936,male,star,1983
politics,55,female,star,1957
sports,8133,male,star,1989
performer,36082,male,star,2001
creator,35308,male,star,1989
sports,14269,male,star,1993
performer,46605,female,superstar,1988
creator,19457,male,star,1975
science,33097,female,superstar,1963
sports,9114,male,star,1964
sports,44329,male,superstar,1967
performer,35492,male,star,1971
sports,23345,male,star,1954
science,36589,male,star,1946
performer,25631,male,star,1942
performer,38869,female,star,1973
creator,5395,male,star,1973
politics,6679,male,star,1980
performer,24892,female,star,1953
performer,13862,female,star,1986
creator,9730,male,star,1954
performer,8254,male,star,1958
performer,43422,female,star,1975
performer,31655,female,star,1973
performer,39557,female,superstar,1986
sports,10192,female,star,1989
sports,6035,male,star,1952
performer,26815,male,star,1970
performer,7913,male,superstar,1969
creator,47841,female,star,1972
sports,34924,male,star,1991
politics,13481,female,star,1945
creator,45154,male,star,1992
sports,31769,male,star,1990
sports,26844,female,star,1982
performer,12137,female,star,1994
sports,39011,male,star,1983
creator,1179,male,star,1957
